student_id,name,program,cohort,email
S1001,Carl Hall,MGB,MGB_Jan24,bstanley@example.org
S1002,David Pierce,MGB,MGB_Jan24,catherinepatel@example.com
S1003,Joseph Gregory,MGB,MGB_Jan24,joseph75@example.org
S1004,Sharon Morris,MGB,MGB_Jan24,amber03@example.net
S1005,Haley Mendoza,MGB,MGB_Jan24,tiffanynewman@example.com
S1006,Brandon Walter,MGB,MGB_Jan24,martinezcassandra@example.org
S1007,Abigail Martinez,MGB,MGB_Jan24,dlopez@example.com
S1008,Melissa Gonzalez,MGB,MGB_Jan24,jonesjohnathan@example.org
S1009,Kimberly Simpson,MGB,MGB_Jan24,lsmith@example.org
S1010,Danielle Hicks,MGB,MGB_Jan24,rodriguezvincent@example.org
S1011,Michael Ferguson,MGB,MGB_Jan24,lchen@example.org
S1012,Daniel Newton,MGB,MGB_Jan24,patrick73@example.net
S1013,Krista Flores,MGB,MGB_Jan24,peggymiller@example.net
S1014,Nathan Baker,MGB,MGB_Jan24,tball@example.org
S1015,Lisa Lindsey,MGB,MGB_Jan24,russell03@example.org
S1016,Brian Owens,MGB,MGB_Jan24,richardsonrichard@example.org
S1017,Olivia Larsen,MGB,MGB_Jan24,taylor98@example.net
S1018,William Hall,MGB,MGB_Jan24,beckcarlos@example.net
S1019,Sandra Blankenship,MGB,MGB_Jan24,wintersadrian@example.org
S1020,Antonio Smith,MGB,MGB_Jan24,lopezjavier@example.com
S1021,Gregory Morales,MGB,MGB_Jan24,hernandezgeorge@example.net
S1022,Richard Mitchell,MGB,MGB_Jan24,yobrien@example.org
S1023,Jamie Mays,MGB,MGB_Jan24,evan50@example.net
S1024,Heather Wilson,MGB,MGB_Jan24,klandry@example.com
S1025,Kimberly Walton,MGB,MGB_Jan24,reesemariah@example.net
S1026,David Hall,MGB,MGB_Jan24,camposlisa@example.com
S1027,Jason Martinez,MGB,MGB_Jan24,murphyjames@example.com
S1028,Stephen Young,MGB,MGB_Jan24,catherine00@example.com
S1029,Joanna Norris,MGB,MGB_Jan24,sloanmalik@example.com
S1030,Mariah Collins,MGB,MGB_Jan24,kochapril@example.org
S1031,Sophia Rice,MGB,MGB_Jan24,christina97@example.org
S1032,Jeffrey Rowe,MGB,MGB_Jan24,tim09@example.net
S1033,Joshua Stanley,MGB,MGB_Jan24,ashleysarah@example.net
S1034,Karen Brooks,MGB,MGB_Jan24,bridgetgarner@example.com
S1035,Faith Franklin,MGB,MGB_Jan24,ediaz@example.org
S1036,Michael Ortega,MGB,MGB_Jan24,deannakelley@example.com
S1037,Tammy Pacheco,MGB,MGB_Jan24,bruce40@example.com
S1038,Dr. Phillip English,MGB,MGB_Jan24,alanwright@example.org
S1039,Stephen Dixon,MGB,MGB_Jan24,jcuevas@example.org
S1040,Matthew Wright,MGB,MGB_Jan24,trujillomatthew@example.org
S1041,Chris Smith,MGB,MGB_Jan24,mooneythomas@example.net
S1042,Samantha Gay,MGB,MGB_Jan24,matthewknight@example.net
